eventId,subEventName,tags,playerId,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,x1,y1,x2,y2
1,Ground defending duel,"['Neutral', 'Accurate']",C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,560.4144729999998,Ground defending duel,259478410,64,87,67.0,90.0
1,Ground attacking duel,"['Won', 'Accurate']",Hakim Ziyech,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,561.2983979999999,Ground attacking duel,259478387,33,10,36.0,8.0
1,Ground defending duel,"['Lost', 'Not accurate']",Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,561.9317209999999,Ground defending duel,259478411,67,90,64.0,92.0
1,Ground attacking duel,"['Take on right', 'Won', 'Accurate']",Hakim Ziyech,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,562.274754,Ground attacking duel,259478388,36,8,38.0,10.0
1,Ground defending duel,"['Take on left', 'Lost', 'Not accurate']",C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,562.5667309999999,Ground defending duel,259478412,64,92,62.0,90.0
2,Foul,[],C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Foul,Portugal,2H,564.357309,Foul,259478414,62,90,64.0,92.0
3,Free Kick,['Not accurate'],Mbark Boussoufa,"Portugal - Morocco, 1 - 0",Free Kick,Morocco,2H,566.0047119999999,Free Kick,259478389,40,13,72.0,10.0
8,Simple pass,['Accurate'],Kl\u00e9per Laveran Lima Ferreira,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,569.3608530000001,Simple pass,259478418,28,90,9.0,50.0
8,Launch,['Accurate'],Rui Pedro dos Santos Patr\u00edcio,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,574.407381,Launch,259478419,9,50,54.0,45.0
1,Air duel,"['Won', 'Accurate']",Medhi Amine El Mouttaqi Benatia,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,576.8607739999998,Air duel,259478391,46,55,66.0,53.0
1,Air duel,"['Lost', 'Not accurate']",Gon\u00e7alo Manuel Ganchinho Guedes,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,577.2929389999999,Air duel,259478421,54,45,34.0,47.0
8,Simple pass,['Accurate'],Mbark Boussoufa,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,578.328552,Simple pass,259478392,66,53,71.0,79.0
8,Simple pass,['Accurate'],Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,582.4399229999999,Simple pass,259478394,71,79,93.0,85.0
8,Simple pass,"['Key pass', 'Accurate']",Nordin Amrabat,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,588.1014889999997,Simple pass,259478396,93,85,87.0,72.0
10,Shot,"['Right foot', 'Opportunity', 'Position: Goal high center', 'Accurate']",Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Shot,Morocco,2H,589.1293759999999,Shot,259478398,87,72,100.0,100.0
9,Save attempt,"['Position: Goal high center', 'Accurate']",Rui Pedro dos Santos Patr\u00edcio,"Portugal - Morocco, 1 - 0",Save attempt,Portugal,2H,592.2994179999996,Save attempt,259478424,0,0,13.0,28.0
8,Launch,['Not accurate'],Rui Pedro dos Santos Patr\u00edcio,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,622.8610010000002,Launch,259478426,6,47,40.0,9.0
1,Ground attacking duel,"['Take on right', 'Won', 'Accurate']",Nordin Amrabat,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,628.7152749999996,Ground attacking duel,259478403,60,91,65.0,96.0
1,Ground defending duel,"['Take on left', 'Lost', 'Not accurate']",Jo\u00e3o M\u00e1rio Naval da Costa Eduardo ,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,628.7577609999998,Ground defending duel,259478428,40,9,35.0,4.0
1,Ground defending duel,"['Take on right', 'Lost', 'Not accurate']",Rapha\u00ebl Adelino Jos\u00e9 Guerreiro,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,630.4545040000003,Ground defending duel,259478430,35,4,25.0,4.0
1,Ground attacking duel,"['Take on left', 'Won', 'Accurate']",Nordin Amrabat,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,630.5832200000004,Ground attacking duel,259478405,65,96,75.0,96.0
